College Name,State Name,District Name
Don Bosco College (P.G.) (Id: C-32804),Andhra Pradesh,Guntur
Dr. B.R.Ambedkar Centenary Degree College (Id: C-32741),Andhra Pradesh,Guntur
Dr.Homi Jahangir Baba Degree College (Id: C-32813),Andhra Pradesh,Guntur
Dr. Jayapradamba Degree College (Id: C-32776),Andhra Pradesh,Guntur
Dr. K.R.R.M. Degree College (Id: C-32636),Andhra Pradesh,Guntur
Dr. K.S.P.R College of Education (Id: C-39242),Andhra Pradesh,Guntur
Dr.K.V.K. Sanskrit College (Id: C-32692),Andhra Pradesh,Guntur
D.R.N.S.C.V.S. College (Id: C-32790),Andhra Pradesh,Guntur
Dr. Samuel George College of Pharmaceutical Science (Id: C-32811),Andhra Pradesh,Prakasam
Dr. Zakir Hussain College of Education (Id: C-36922),Andhra Pradesh,Guntur
"D.S.Govt. Degree College for Women, Ongole (Id: C-32817)",Andhra Pradesh,Prakasam
Erigineni Tirupati Naidu & Lakshmamma Degree College (Id: C-32786),Andhra Pradesh,Prakasam
Fatima College of Education (Id: C-32654),Andhra Pradesh,Guntur
G.C.K.V.N. Degree College (Id: C-32628),Andhra Pradesh,Guntur
G.C & Y P N Degree College (Id: C-32698),Andhra Pradesh,Prakasam
Geetham Degree College (Id: C-32777),Andhra Pradesh,Prakasam
"Geethanjali Degree College, Darsi (Id: C-41015)",Andhra Pradesh,Prakasam
Geethika B.Ed College (Id: C-39236),Andhra Pradesh,Guntur
Goutham College of Education (Id: C-39310),Andhra Pradesh,Prakasam
"Government Degree College, Cumbum (Id: C-39309)",Andhra Pradesh,Prakasam
"Government Degree College, Yerragondapalem (Id: C-39295)",Andhra Pradesh,Prakasam
"Govt. Degree College, Chebrolu (Id: C-32624)",Andhra Pradesh,Guntur
"Govt. Degree College for Women, Guntur (Id: C-32670)",Andhra Pradesh,Guntur
"Govt. Degree College, Kanigiri (Id: C-32748)",Andhra Pradesh,Prakasam
"G.R.K Degree College, Maddipadu (Id: C-39306)",Andhra Pradesh,Prakasam
G.R.R. & T.P.R. Degree College (Id: C-42707),Andhra Pradesh,Prakasam
G.S.R. Degree College (Id: C-41014),Andhra Pradesh,Guntur
G.V.& A.D.S.L. College of Education (Id: C-32678),Andhra Pradesh,Prakasam
G.V.R & S College of Education (Id: C-39228),Andhra Pradesh,Guntur
G V R & S Degree College for Women (Id: C-32690),Andhra Pradesh,Guntur
G.V.R.S Institute for Professional Studies (Id: C-32718),Andhra Pradesh,Guntur
G.V.S.M. GOVT. Degree College (Id: C-32724),Andhra Pradesh,Prakasam
Hazarath Ameeruddin College of Education (Id: C-39272),Andhra Pradesh,Prakasam
"Hindu College, Guntur (Id: C-32675)",Andhra Pradesh,Guntur
Hindu College of Education (Id: C-37107),Andhra Pradesh,Guntur
"Hindu College of Management, Guntur (Id: C-39487)",Andhra Pradesh,Guntur
Hindu College of Pharmacy (Id: C-32798),Andhra Pradesh,Guntur
H.M.K.S. & M.G.S. Memorial College of Education (Id: C-32809),Andhra Pradesh,Guntur
Ideal & S.K.C.M Degree College (Id: C-32830),Andhra Pradesh,Prakasam
Indira Priyadarsni Law College (Id: C-32736),Andhra Pradesh,Prakasam
J.C. College of Law (Id: C-32815),Andhra Pradesh,Guntur
J.K.C. College (Id: C-32701),Andhra Pradesh,Guntur
J.M.J. College for Women (Id: C-32812),Andhra Pradesh,Guntur
J.R.R Navodaya Degree College (Id: C-39268),Andhra Pradesh,Guntur
Kalikamba College of Education (Id: C-32722),Andhra Pradesh,Prakasam
"Kalyani MCA College, Eethamukkala (Id: C-42704)",Andhra Pradesh,Prakasam
Kamala College of Education (Id: C-39274),Andhra Pradesh,Prakasam
Kamala Institute of Management Studies (Id: C-44107),Andhra Pradesh,Prakasam
Kasturibai College of Education (Id: C-37209),Andhra Pradesh,Guntur
K Chandrakala College (P.G.) (Id: C-32666),Andhra Pradesh,Guntur
K.C Reddy Institute of Pharmaceutical Sciences (Id: C-39485),Andhra Pradesh,Guntur
"KC Reddy PG College, Janamguntapalem (Id: C-42658)",Andhra Pradesh,Guntur
K.L.N. Sanskrit College (Id: C-32794),Andhra Pradesh,Guntur
K.L.R. Degree College (Id: C-32764),Andhra Pradesh,Prakasam
Konijeti Rosaiah Siva Lakshmi College (Id: C-41017),Andhra Pradesh,Guntur
Krishnaveni Degree College (Id: C-32694),Andhra Pradesh,Guntur
"Krishnaveni Degree College, Vinukonda (Id: C-42745)",Andhra Pradesh,Guntur
K R K Govt. Degree College (Id: C-32818),Andhra Pradesh,Prakasam
K.S.R & K.R.K College of Education (Id: C-39235),Andhra Pradesh,Guntur
"K.S.R.N. Degree College, Govada (Id: C-39316)",Andhra Pradesh,Guntur
"K.V.R., K.VR. & M.K.R College (Id: C-39270)",Andhra Pradesh,Guntur
Lakshmi Narsimha College of Education (Id: C-37212),Andhra Pradesh,Guntur
Magunta Subba Rami Reddy Degree College (Id: C-32688),Andhra Pradesh,Prakasam
Mahatma Gandhi College (Id: C-32829),Andhra Pradesh,Guntur
Malineni Lakshmaiah B.Ed College (Id: C-39262),Andhra Pradesh,Prakasam
M.A.M College of Education (Id: C-39245),Andhra Pradesh,Guntur
"M.A.M College of Pharmacy, Narsaraopet (Id: C-39470)",Andhra Pradesh,Guntur
Matrusri Oriental College (Id: C-32821),Andhra Pradesh,Guntur
M.G College of Education (Id: C-37222),Andhra Pradesh,Prakasam
"Mittapalli Lakshmaiah & Sons Degree College, Piduguralla (Id: C-41008)",Andhra Pradesh,Guntur
M.L. College of MBA (Id: C-32751),Andhra Pradesh,Prakasam
M.L. College of Pharmacy (Id: C-32658),Andhra Pradesh,Prakasam
"M.M.R Degree College, Macherla (Id: C-39305)",Andhra Pradesh,Guntur
Modern Degree College (Id: C-32674),Andhra Pradesh,Guntur
Morning Star College (Id: C-32633),Andhra Pradesh,Guntur
"Mother Theresa Womens Degree College, Karampudi (Id: C-42779)",Andhra Pradesh,Guntur
"M.S.R. Degree College, Bapatla (Id: C-39315)",Andhra Pradesh,Guntur
M.V.G.R. Degree College (Id: C-32719),Andhra Pradesh,Guntur
"M.V.R Degree College, Karlapalem (Id: C-39264)",Andhra Pradesh,Guntur
M.V.R.S. Viveka Degree College (Id: C-32721),Andhra Pradesh,Guntur
Nagarjuna College of Education (Id: C-32641),Andhra Pradesh,Guntur
"Nagarjuna Institute of Management Studies, Chekurapadu (Id: C-39467)",Andhra Pradesh,Prakasam
Nalanda College of Education (Id: C-37207),Andhra Pradesh,Guntur
National Minority Degree College (Id: C-32683),Andhra Pradesh,Prakasam
Navya Chaitanya College of Education (Id: C-32758),Andhra Pradesh,Prakasam
N.B.T & N V C College (Id: C-32746),Andhra Pradesh,Guntur
New Era College of Education (Id: C-37106),Andhra Pradesh,Guntur
"Nirmala College of Pharmacy, Mangalagiri (Id: C-39481)",Andhra Pradesh,Guntur
N.N.R. & C.L. Degree College (Id: C-32743),Andhra Pradesh,Prakasam
N.N.S. Vidya College of P.G. Studies (Id: C-32761),Andhra Pradesh,Prakasam
N.N.S Vidya Degree College (Id: C-42657),Andhra Pradesh,Prakasam
N.R.K & K.S.R Gupta College of Pharmacy (Id: C-39469),Andhra Pradesh,Guntur
N.R.K. & K.S.R. Gupta Degree College (Id: C-32747),Andhra Pradesh,Guntur
N.T.R Memorial Degree College (Id: C-32645),Andhra Pradesh,Prakasam
Omega College of Education (Id: C-32682),Andhra Pradesh,Prakasam
"Palnadu College of Education, Narayanapuram (Id: C-39458)",Andhra Pradesh,Guntur
P.B.N. College (Id: C-32757),Andhra Pradesh,Guntur
Pedanandipadu College of Arts and Sciences (Id: C-32781),Andhra Pradesh,Guntur
P.N.C.A Degree College (Id: C-32620),Andhra Pradesh,Prakasam
P.N.C & K.R. College (Id: C-32816),Andhra Pradesh,Guntur
Prabhala Lakshminarayana Memorial Degree College (Id: C-32673),Andhra Pradesh,Guntur
"Prabhala PG College for Women, Nagarjuna Nagar (Id: C-39451)",Andhra Pradesh,Guntur
Pratap College of Education (Id: C-41026),Andhra Pradesh,Prakasam
Prathiba Degree College (Id: C-32775),Andhra Pradesh,Prakasam
"Pratibha Degree College, Pedanandipadu (Id: C-41021)",Andhra Pradesh,Guntur
Priya Darisini Degree College (Id: C-32665),Andhra Pradesh,Guntur
Priyadarsini Institute of Pharmaceutical Science (Id: C-39474),Andhra Pradesh,Guntur
Priyanka College of Education (Id: C-32713),Andhra Pradesh,Prakasam
P.S.B. College of Education (Id: C-39266),Andhra Pradesh,Prakasam
Qis College of Education (Id: C-39276),Andhra Pradesh,Prakasam
"Radha Degree College, Vinukonda (Id: C-39304)",Andhra Pradesh,Guntur
Raghava Degree College - Ongole (Id: C-32642),Andhra Pradesh,Prakasam
Rahul Institute of Pharmaceutical Sciences & Research (Id: C-41031),Andhra Pradesh,Prakasam
"Rahul Subramanyam Memorial Instt of Management Studies, Chirala (Id: C-41030)",Andhra Pradesh,Prakasam
Ravindra Bharathi College of Education (Id: C-32745),Andhra Pradesh,Prakasam
Repalle Christian College (Id: C-32806),Andhra Pradesh,Guntur
Repalle Christian College of Education (Id: C-32716),Andhra Pradesh,Guntur
R.V.R. & J.C. College of Engineering (Id: C-32672),Andhra Pradesh,Guntur
R.V.R.R. College of Education (Id: C-32725),Andhra Pradesh,Guntur
R.V.V.N. College (Id: C-32687),Andhra Pradesh,Guntur
S.A.B.R. Govt. Degree College (Id: C-32765),Andhra Pradesh,Guntur
Sadhana Degree College (Id: C-32755),Andhra Pradesh,Guntur
Sadineni Chowdaraiah College of Arts & Science (Id: C-32739),Andhra Pradesh,Guntur
Sai Chaitanya Degree College Giddalur (Id: C-39303),Andhra Pradesh,Prakasam
Sarada College of Pharmaceutical Sciences (Id: C-39479),Andhra Pradesh,Guntur
"Sarada Degree College, Medarametla (Id: C-44488)",Andhra Pradesh,Prakasam
"Saraswathi College of Arts & Science, Dachepalli (Id: C-41013)",Andhra Pradesh,Guntur
"S.B.G. Degree College, Sattenapalli (Id: C-40606)",Andhra Pradesh,Guntur
S.B.M.S. Degree College (Id: C-32646),Andhra Pradesh,Guntur
S.B.Swamy Sanskrit College (Id: C-32728),Andhra Pradesh,Guntur
"S.B.V.S.R College of Education, Cheemakurthi (Id: C-42742)",Andhra Pradesh,Prakasam
Seven Hills College of Education (Id: C-37208),Andhra Pradesh,Guntur
S.G.H.R. & M.C.M.R.College (Id: C-32730),Andhra Pradesh,Guntur
"S.G.K Govt. Degree College, Vinukonda (Id: C-42245)",Andhra Pradesh,Guntur
S.G.K. Oriental College (Id: C-32697),Andhra Pradesh,Guntur
S.G.T. & J.V.B.College (Id: C-32635),Andhra Pradesh,Guntur
S.G.V. Oriental College (Id: C-32783),Andhra Pradesh,Prakasam
"Shams-Ul_Uloom College of Education, Markapur (Id: C-39301)",Andhra Pradesh,Prakasam
"Shams-Ul-Uloom College of Education, Podili (Id: C-39477)",Andhra Pradesh,Prakasam
Shivani Degree College (Id: C-36921),Andhra Pradesh,Guntur
"Siddhartha Institute of Pharmaceutical Sciences, Jonnalagadda (Id: C-39454)",Andhra Pradesh,Guntur
SIMS College of Education (Id: C-37210),Andhra Pradesh,Guntur
"SIMS College of Life Sciences, Guntur (Id: C-41033)",Andhra Pradesh,Guntur
SIMS College of Pharmacy (Id: C-32788),Andhra Pradesh,Guntur
S.K.B.R. Govt. College (Id: C-32691),Andhra Pradesh,Guntur
S.K.R.B.R. College (Id: C-32738),Andhra Pradesh,Guntur
S.K.S.V. Degree College for Women (Id: C-32661),Andhra Pradesh,Guntur
S.L.V. College of Education (Id: C-42244),Andhra Pradesh,Prakasam
S.M.P.A. Degree College (Id: C-32814),Andhra Pradesh,Guntur
SMS & SMCMR College of Education (Id: C-37217),Andhra Pradesh,Guntur
"Smt. Koonapareddy Prameela Rani Degree College, Parchoor (Id: C-39312)",Andhra Pradesh,Prakasam
Smt. Sanagala Prameela Degree College (Id: C-32685),Andhra Pradesh,Guntur
S M Y College of Education (Id: C-32660),Andhra Pradesh,Prakasam
S.N.B.T. Degree College for Women (Id: C-32737),Andhra Pradesh,Guntur
S.N.B.T.M. College of Education (Id: C-32622),Andhra Pradesh,Guntur
Sri Chaitanya College of Education (Id: C-39263),Andhra Pradesh,Prakasam
Sri C.V. Raman College of Computer Science (Id: C-39463),Andhra Pradesh,Prakasam
Sri Gayatri Vidya Parishad Degree College (Id: C-32715),Andhra Pradesh,Prakasam
"Sri Gowtham College of Education, Darsi (Id: C-39447)",Andhra Pradesh,Prakasam
"Sri Gowtham Degree College, Kandulapuram (Id: C-41009)",Andhra Pradesh,Prakasam
"Sri Gowthami Degree College, Darsi (Id: C-41011)",Andhra Pradesh,Prakasam
"Sri Harsha's Womens Degree College, Cumbum (Id: C-44486)",Andhra Pradesh,Prakasam
"Sri Harshini Degree College, Martur (Id: C-41024)",Andhra Pradesh,Prakasam
"Sri Harshini Degree College, Ongole (Id: C-41023)",Andhra Pradesh,Prakasam
"Sri Jeevana Jyothi Degree College, Giddalur (Id: C-41010)",Andhra Pradesh,Prakasam
Sriji Degree College (Id: C-32774),Andhra Pradesh,Prakasam
"Sri Kakatiya Degree College, Predakurapadu (Id: C-42776)",Andhra Pradesh,Guntur
Sri Kandula Obula Reddy Degree College (Id: C-32785),Andhra Pradesh,Prakasam
Sri Karthikeya Degree College - Guntur (Id: C-39494),Andhra Pradesh,Guntur
Sri Mahaveer Memorial Jain Degree College (Id: C-32826),Andhra Pradesh,Guntur
Sri Majeti Guravaiah Degree College (Id: C-32709),Andhra Pradesh,Guntur
Sri Nagarjuna Degree College (Id: C-32640),Andhra Pradesh,Prakasam
Sri Potti Sriramulu Degree College (Id: C-32647),Andhra Pradesh,Prakasam
Sri Prasannanjaneya Degree College (Id: C-41032),Andhra Pradesh,Prakasam
Sri Prathidba Degree College (Id: C-32773),Andhra Pradesh,Prakasam
"Sri Pratibha Degree College, Ongole (Id: C-39311)",Andhra Pradesh,Prakasam
"Sri Raja Rajeswari College of Education, Giddalur (Id: C-39472)",Andhra Pradesh,Prakasam
Sri Rama Krishna Degree College (Id: C-32668),Andhra Pradesh,Prakasam
"Sri Sadhana Degree College, Markapur (Id: C-39296)",Andhra Pradesh,Prakasam
Sri Sai Degree College (Id: C-44035),Andhra Pradesh,Guntur
"Sri Sai Degree College, Repalle (Id: C-43770)",Andhra Pradesh,Guntur
Sri Sarada Niketanam Oriental College (Id: C-32648),Andhra Pradesh,Guntur
"Sri Sidhartha Degree College, Bestavaripeta (Id: C-42774)",Andhra Pradesh,Prakasam
Sri Tatiparthi Venkata Reddy Memorial College of Education (Id: C-39476),Andhra Pradesh,Prakasam
Sri Vasavi Kanyaka Parameswari Degree College (Id: C-41002),Andhra Pradesh,Guntur
Sri Venkateswara Balakuteer College of Education (Id: C-42662),Andhra Pradesh,Guntur
Sri Venkateswara College of Education (Id: C-37218),Andhra Pradesh,Guntur
"Sri Venkateswara College of Education, Darsi (Id: C-39492)",Andhra Pradesh,Prakasam
Sri Venkateswara Degree College (Id: C-32686),Andhra Pradesh,Guntur
"Sri Venkateswara Degree College, Guntur (Id: C-44824)",Andhra Pradesh,Guntur
"Sri Venkateswara Degree College, Nakirekallu (Id: C-41007)",Andhra Pradesh,Guntur
Sri Venkateswara & Sri Satyadev Degree College (Id: C-44108),Andhra Pradesh,Guntur
"Sri Vivekananda Degree College, Podili (Id: C-39302)",Andhra Pradesh,Prakasam
S.S. Arts & Science College (Id: C-32627),Andhra Pradesh,Prakasam
S.S. & N. College (Id: C-32759),Andhra Pradesh,Guntur
S.S.N. Degree College (Id: C-32696),Andhra Pradesh,Prakasam
"S.S.N Degree College, Podili (Id: C-42705)",Andhra Pradesh,Prakasam
St. Anns College for Women (Id: C-39493),Andhra Pradesh,Guntur
St. Ignatious Degree College (Id: C-42777),Andhra Pradesh,Guntur
St. John College of Education (Id: C-32726),Andhra Pradesh,Prakasam
St. Joseph's College of Education for Women (Id: C-32752),Andhra Pradesh,Guntur
St Mark NTR College of Education (Id: C-37206),Andhra Pradesh,Guntur
"St Mary's B.Ed College, Podili (Id: C-39464)",Andhra Pradesh,Prakasam
St. Paul's College of Education (Id: C-32659),Andhra Pradesh,Prakasam
St. Peter & G. Krishna College of Education (Id: C-32706),Andhra Pradesh,Guntur
"St. Theressa Degree College - Hotel Management, Tenali (Id: C-41006)",Andhra Pradesh,Guntur
St. Xavier Institute of Pharmacy (Id: C-39456),Andhra Pradesh,Guntur
S.V. Arts & Science College (Id: C-32824),Andhra Pradesh,Prakasam
"S.V.B.S Degree College, Komarole (Id: C-41003)",Andhra Pradesh,Prakasam
"S.V.K.P. Arts, Science & Commerce College (Id: C-42778)",Andhra Pradesh,Prakasam
S.V.K.P. College (Id: C-32795),Andhra Pradesh,Prakasam
S.V.K.P. Degree College (Id: C-32805),Andhra Pradesh,Prakasam
"S.V.K.P P.G College, Cumbum (Id: C-44534)",Andhra Pradesh,Prakasam
S.V.R.M. College (Id: C-32810),Andhra Pradesh,Guntur
"Sweekaar College of Special Education (M.R), Guntur (Id: C-41211)",Andhra Pradesh,Guntur
"Sweekaar Degree College, Guntur (Id: C-41212)",Andhra Pradesh,Guntur
Tarlapadu College of Education (Id: C-32699),Andhra Pradesh,Prakasam
TCMT College (Id: C-32791),Andhra Pradesh,Prakasam
Thotakura RamaKotaiah College of Education (Id: C-39239),Andhra Pradesh,Guntur
"Tiyyagura Sitarami Reddy Degree College, Piduguralla (Id: C-41005)",Andhra Pradesh,Guntur
T.J.P.S. College (Id: C-32708),Andhra Pradesh,Guntur
T.R.R. Govt. Degree College (Id: C-32822),Andhra Pradesh,Prakasam
T.R.R. & S. Degree College (Id: C-32744),Andhra Pradesh,Guntur
"University COllege of Arts, Commerce and Law (Id: C-32637)",Andhra Pradesh,Guntur
University College of Engineering & Technology (Id: C-32695),Andhra Pradesh,Guntur
University College of Pharmaceutical Sciences (Id: C-32766),Andhra Pradesh,Guntur
University College of Physical Education and Sports Sciences (Id: C-32653),Andhra Pradesh,Guntur
University Collge of Architecture & Planning (Id: C-32723),Andhra Pradesh,Guntur
University Collge of Sciences (Id: C-32742),Andhra Pradesh,Guntur
"Vagdevi College of Pharmacy, Gurazala (Id: C-39478)",Andhra Pradesh,Guntur
"Vagdevi Degree College, Rentachintala (Id: C-41001)",Andhra Pradesh,Guntur
Vasavi Degree College for Women (Id: C-32799),Andhra Pradesh,Guntur
"Vasavi MBA & MCA College, Kandulapuram (Id: C-39473)",Andhra Pradesh,Prakasam
Vellanki College of Education (Id: C-37213),Andhra Pradesh,Guntur
Venigalla Jayasri Ram College (Id: C-32621),Andhra Pradesh,Guntur
"Venkateswara College of Eduation, Besthavaripeta (Id: C-39465)",Andhra Pradesh,Prakasam
"Victoria College of Pharmacy, Nallapadu (Id: C-39488)",Andhra Pradesh,Guntur
"Vidya Kendran Degree College, Sattenapalli (Id: C-40607)",Andhra Pradesh,Guntur
"Vignan Degree College, Chemakurthi (Id: C-42744)",Andhra Pradesh,Prakasam
"Vignan Degree College, Guntur (Id: C-32750)",Andhra Pradesh,Guntur
"Vijaya Jyothi Degree College, Mangalagiri (Id: C-42246)",Andhra Pradesh,Guntur
Vijayateja Degree College (Id: C-41022),Andhra Pradesh,Prakasam
"Vikas Degree College, Macherla (Id: C-44106)",Andhra Pradesh,Guntur
Vinukonda B.Ed. College (Id: C-32638),Andhra Pradesh,Guntur
Vision Institute of Sciences & Technology (Id: C-32684),Andhra Pradesh,Guntur
Viveka Arts & Science Degree College (Id: C-32651),Andhra Pradesh,Prakasam
"Viveka College of Education, Vaddesangam (Id: C-44487)",Andhra Pradesh,Prakasam
"Vivekananda College of Education, Kandukur (Id: C-39455)",Andhra Pradesh,Prakasam
"VJ&BL Degree College, Mangalagiri (Id: C-42708)",Andhra Pradesh,Guntur
V.R.S. & Y.R.N. College (Id: C-32639),Andhra Pradesh,Prakasam
V.S.R. & A.M. Degree College (Id: C-32820),Andhra Pradesh,Prakasam
V.S.R. & N.V.R. College (Id: C-32705),Andhra Pradesh,Guntur
V.T.J.M. & I.V.T.R. Degree College (Id: C-32623),Andhra Pradesh,Guntur
V.V. & M. College (Id: C-32753),Andhra Pradesh,Prakasam
Vyshnavi College of Education (Id: C-37216),Andhra Pradesh,Guntur
"Vyshnavi Degree College, Thripurantakam (Id: C-41018)",Andhra Pradesh,Prakasam
Y.A. Govt. College for Women (Id: C-32734),Andhra Pradesh,Prakasam
"Yaswanth College of Education,Bestavaripeta (Id: C-39482)",Andhra Pradesh,Prakasam
"Agricultultural College, Bapatla (Id: C-26378)",Andhra Pradesh,Guntur
"Agricultural College, Aswaraopet (Id: C-26380)",Telangana,Khammam
"Agricultural College, Jagtial (Id: C-26376)",Telangana,Karimnagar
"Agricultural College, Mahanandi (Id: C-26377)",Andhra Pradesh,Kurnool
"Agricultural College, Naira (Id: C-26375)",Andhra Pradesh,Srikakulam
"Agricultural College, Rajahmundry (Id: C-26369)",Andhra Pradesh,East Godavari
"Collage of Agriculture, Rajendranagar (Id: C-26372)",Telangana,Rangareddy
"College of Agricultural Engineering, Bapatla (Id: C-26373)",Andhra Pradesh,Guntur
"College of Agricultural Engineering, Madakasira (Id: C-26381)",Andhra Pradesh,Anantapur
"College of Food Science and Technology, Bapatla (Id: C-26371)",Andhra Pradesh,Guntur
"College of Food Science and Technology, Pulivendula (Id: C-26379)",Andhra Pradesh,Y.S.R.
"College of Home Science, Hyderabad (Id: C-26370)",Telangana,Hyderabad
"S.V. Agricultural College, Tirupathi (Id: C-26374)",Andhra Pradesh,Chittoor
"Adesh Institute of Dental Sciences & Research, Baranala Road, Bathinda (Id: C-29246)",Punjab,Bathinda
"Adesh Institute of Medical Sciences & Research, Barnala Road (Id: C-29187)",Punjab,Bathinda
"Adesh Institute of Pharmacy & Biomedical Sciences, Bathinda (Id: C-10496)",Punjab,Bathinda
"College of Nursing, Adesh Institute of Medical Sciences & Research, Bathinda (Id: C-29249)",Punjab,Bathinda
"College of Physiotherapy, Adesh Institute of Medical Sciences & Research, Bathinda (Id: C-29162)",Punjab,Bathinda
ABHYUDAYA DEGREE COLLEGE (Id: C-24297),Andhra Pradesh,West Godavari
Adarsa Degree College (Id: C-24193),Andhra Pradesh,East Godavari
"Aditya Degree College, Cinema Road, Tatipaka (Id: C-26816)",Andhra Pradesh,East Godavari
"Aditya Degree College for Women, Rajahmundry (Id: C-26823)",Andhra Pradesh,East Godavari
